title,URL,Congress,chamber,Meeting Date,Committee
Department of Energy - Budget Hearing,/event/115th-congress/house-event/106141,115th,H,2017-06-20T17:00:00Z,House Appropriations
Office of Management and Budget - Budget Hearing,/event/115th-congress/house-event/106142,115th,H,2017-06-21T18:00:00Z,House Appropriations
Federal Bureau of Investigation - Budget Hearing,/event/115th-congress/house-event/106092,115th,H,2017-06-21T19:00:00Z,House Appropriations
Subcommittee Markup - FY 2018 Legislative Branch Appropriations Bill,/event/115th-congress/house-event/106178,115th,H,2017-06-23T14:00:00Z,House Appropriations
Subcommittee Markup - FY 2018 Defense Appropriations Bill,/event/115th-congress/house-event/106187,115th,H,2017-06-26T23:00:00Z,House Appropriations
United Nations and International Organizations – Budget Hearing,/event/115th-congress/house-event/106177,115th,H,2017-06-27T14:00:00Z,House Appropriations
FY 2018 Agriculture Appropriations Bill,/event/115th-congress/house-event/106198,115th,H,2017-06-28T14:00:00Z,House Appropriations
FY 2018 Energy and Water Appropriations Bill,/event/115th-congress/house-event/106199,115th,H,2017-06-28T15:00:00Z,House Appropriations
Committee Markup: FY2018 Legislative Branch Appropriations Bill and FY2018 Defense Appropriations Bill,/event/115th-congress/house-event/106206,115th,H,2017-06-29T14:30:00Z,House Appropriations
"FY 2018 Commerce, Justice and Science Appropriations Bill",/event/115th-congress/house-event/106207,115th,H,2017-06-29T18:00:00Z,House Appropriations
FY 2018 Financial Services and General Government Appropriations Bill,/event/115th-congress/house-event/106208,115th,H,2017-06-29T19:00:00Z,House Appropriations
"FY 2018 Transportation, Housing and Urban Development Appropriations Bill",/event/115th-congress/house-event/106228,115th,H,2017-07-11T23:00:00Z,House Appropriations
"FY2018 Agriculture Appropriations Bill, and FY2018 Energy and Water Development Appropriations Bill",/event/115th-congress/house-event/106244,115th,H,2017-07-12T14:30:00Z,House Appropriations
"FY18 Interior, Environment and Related Agencies Appropriations Bill",/event/115th-congress/house-event/106242,115th,H,2017-07-12T19:00:00Z,House Appropriations
FY2018 Homeland Security Appropriations Bill,/event/115th-congress/house-event/106241,115th,H,2017-07-12T20:30:00Z,House Appropriations
"FY2018 Commerce, Justice and Science Appropriations Bill & FY 2018 Financial Services and General Government Appropriations Bill",/event/115th-congress/house-event/106248,115th,H,2017-07-13T14:00:00Z,House Appropriations
FY2018 State and Foreign Operations Appropriations Bill,/event/115th-congress/house-event/106249,115th,H,2017-07-13T19:00:00Z,House Appropriations
"FY2018 Labor, Health and Human Services, and Education Appropriations Bill",/event/115th-congress/house-event/106250,115th,H,2017-07-13T20:30:00Z,House Appropriations
"FY2018 Transportation, Housing and Urban Development Appropriations Bill",/event/115th-congress/house-event/106273,115th,H,2017-07-17T23:00:00Z,House Appropriations
FY2018 Homeland Security Appropriations Bill and FY2018 Interior Appropriations Bill,/event/115th-congress/house-event/106284,115th,H,2017-07-18T15:00:00Z,House Appropriations
"FY2018 State and Foreign Operations Appropriations Bill, FY2018 Labor, Health and Human Services, and Education Appropriations Bill; and Interim Suballocation of Budget Allocations for FY2018",/event/115th-congress/house-event/106292,115th,H,2017-07-19T13:30:00Z,House Appropriations
The Role of Facilities and Administrative Costs in Supporting NIH-Funded Research,/event/115th-congress/house-event/106525,115th,H,2017-10-24T14:00:00Z,House Appropriations
Down Syndrome: Update on the State of the Science and Potential for Discoveries Across Other Major Diseases,/event/115th-congress/house-event/106526,115th,H,2017-10-25T14:00:00Z,House Appropriations
Accountable Soft Power in the National Interest,/event/115th-congress/house-event/106565,115th,H,2017-11-01T14:30:00Z,House Appropriations
Veterans Affairs Electronic Health Record Oversight,/event/115th-congress/house-event/106638,115th,H,2017-11-15T14:30:00Z,House Appropriations
Supplemental Oversight - US Forest Service,/event/115th-congress/house-event/106669,115th,H,2017-11-29T15:00:00Z,House Appropriations
USDA's Role in Disaster Recovery,/event/115th-congress/house-event/106668,115th,H,2017-11-29T15:00:00Z,House Appropriations
Supplemental Oversight - US Army Corps of Engineers,/event/115th-congress/house-event/106670,115th,H,2017-11-29T16:00:00Z,House Appropriations
Supplemental Oversight - Small Business Administration & General Services Administration,/event/115th-congress/house-event/106671,115th,H,2017-11-29T19:00:00Z,House Appropriations
Supplemental Oversight - Department of the Interior,/event/115th-congress/house-event/106673,115th,H,2017-11-30T14:30:00Z,House Appropriations
Supplemental Oversight - FEMA,/event/115th-congress/house-event/106672,115th,H,2017-11-30T15:00:00Z,House Appropriations
"Department of Transportation, Federal Highway Administration Emergency Relief",/event/115th-congress/house-event/106674,115th,H,2017-11-30T20:00:00Z,House Appropriations
"Department of Housing and Urban Development, Community Block Grant - Disaster Recovery",/event/115th-congress/house-event/106675,115th,H,2017-12-01T14:30:00Z,House Appropriations
FY19 Budget Request - Department of State and Foreign Assistance,/event/115th-congress/house-event/106911,115th,H,2018-03-01T14:30:00Z,House Appropriations
FY19 Budget Hearing - Department of Treasury,/event/115th-congress/house-event/106929,115th,H,2018-03-06T15:00:00Z,House Appropriations
FY19 Budget Request- Department of Labor,/event/115th-congress/house-event/106928,115th,H,2018-03-06T15:00:00Z,House Appropriations
FY19 - Navy and Marine Corps Budget,/event/115th-congress/house-event/106932,115th,H,2018-03-07T15:00:00Z,House Appropriations
FY19 Budget Request - Commodity Futures Trading Commission,/event/115th-congress/house-event/106931,115th,H,2018-03-07T15:00:00Z,House Appropriations
FY19 - Air Force,/event/115th-congress/house-event/107982,115th,H,2018-03-14T14:00:00Z,House Appropriations
FY19 Budget Hearing - U.S. Army Corps of Engineers and Bureau of Reclamation,/event/115th-congress/house-event/107983,115th,H,2018-03-14T14:00:00Z,House Appropriations
POSTPONED: FY19 Budget Hearing - Department of Transportation,/event/115th-congress/house-event/107984,115th,H,2018-03-15T13:30:00Z,House Appropriations
FY 2019 Budget Hearing - Department of Energy,/event/115th-congress/house-event/107987,115th,H,2018-03-15T14:00:00Z,House Appropriations
FY19 - Army Budget,/event/115th-congress/house-event/107985,115th,H,2018-03-15T14:00:00Z,House Appropriations
FY19 Budget Hearing - Department of Health and Human Services,/event/115th-congress/house-event/107988,115th,H,2018-03-15T14:00:00Z,House Appropriations
FY19 Budget Hearing - Veterans Affairs,/event/115th-congress/house-event/107986,115th,H,2018-03-15T14:00:00Z,House Appropriations
"FY19 Budget Hearing - the Office of the Inspector General, United States Department of Agriculture",/event/115th-congress/house-event/107989,115th,H,2018-03-15T17:30:00Z,House Appropriations
FY 19 - Department of Commerce,/event/115th-congress/house-event/108027,115th,H,2018-03-20T13:30:00Z,House Appropriations
FY19 - Department Housing and Urban Development,/event/115th-congress/house-event/108028,115th,H,2018-03-20T13:30:00Z,House Appropriations
FY19 - Department of Education,/event/115th-congress/house-event/108030,115th,H,2018-03-20T14:00:00Z,House Appropriations
FY19 - National Nuclear Security Administration,/event/115th-congress/house-event/108031,115th,H,2018-03-20T14:00:00Z,House Appropriations
FY 19 Budget - National Oceanic and Atmospheric Administration,/event/115th-congress/house-event/108036,115th,H,2018-03-21T14:00:00Z,House Appropriations
"POSTPONED: FY19 - Budget Oversight Hearing on Energy, Installations, and Environment",/event/115th-congress/house-event/108037,115th,H,2018-03-21T14:00:00Z,House Appropriations
POSTPONED: FY 19 Budget- Department of Agriculture,/event/115th-congress/house-event/108039,115th,H,2018-03-21T17:30:00Z,House Appropriations
FY 19 Budget - Open World Leadership Trust Fund,/event/115th-congress/house-event/108040,115th,H,2018-03-21T18:30:00Z,House Appropriations
FY 19 Budget - Applied Energy,/event/115th-congress/house-event/108041,115th,H,2018-03-22T13:00:00Z,House Appropriations
(CLOSED) FY 2019 Budget - U.S. Strategic Command (USSTRATCOM),/event/115th-congress/house-event/108098,115th,H,2018-04-11T14:00:00Z,House Appropriations
FY 2019 Budget - Department of the Interior,/event/115th-congress/house-event/108097,115th,H,2018-04-11T14:00:00Z,House Appropriations
FY 2019 Budget - Internal Revenue Service,/event/115th-congress/house-event/108126,115th,H,2018-04-11T14:00:00Z,House Appropriations
FY 2019 Budget - National Institutes of Health,/event/115th-congress/house-event/108129,115th,H,2018-04-11T14:00:00Z,House Appropriations
FY 2019 Budget - Department of the Treasury International Programs,/event/115th-congress/house-event/108100,115th,H,2018-04-11T14:30:00Z,House Appropriations
FY 2019 Budget - National Oceanic and Atmospheric Administration,/event/115th-congress/house-event/108099,115th,H,2018-04-11T14:30:00Z,House Appropriations
FY 2019 Budget - Department of Homeland Security,/event/115th-congress/house-event/108101,115th,H,2018-04-11T15:00:00Z,House Appropriations
FY 2019 Budget - U.S. Capitol Police,/event/115th-congress/house-event/108102,115th,H,2018-04-11T18:00:00Z,House Appropriations
FY 2019 Budget - Rail Safety and Infrastructure: Stakeholder Perspectives,/event/115th-congress/house-event/108096,115th,H,2018-04-12T01:30:00Z,House Appropriations
FY 2019 Budget - Smithsonian Institution,/event/115th-congress/house-event/108103,115th,H,2018-04-12T13:30:00Z,House Appropriations
FY 2019 Budget - Government Publishing Office,/event/115th-congress/house-event/108107,115th,H,2018-04-12T14:00:00Z,House Appropriations
FY 2019 Budget - Investments in our Health Workforce and Rural Communities,/event/115th-congress/house-event/108104,115th,H,2018-04-12T14:00:00Z,House Appropriations
FY 2019 Budget - National Aeronautics and Space Administration (NASA),/event/115th-congress/house-event/108105,115th,H,2018-04-12T14:00:00Z,House Appropriations
FY 2019 Budget - National Guard and Reserve,/event/115th-congress/house-event/108106,115th,H,2018-04-12T14:00:00Z,House Appropriations
FY 2019 Budget - U.S. Immigration and Customs Enforcement and U.S. Customs and Border Protection,/event/115th-congress/house-event/108109,115th,H,2018-04-12T14:00:00Z,House Appropriations
"FY 2019 Oversight - Energy, Installations, and Environment",/event/115th-congress/house-event/108108,115th,H,2018-04-12T14:00:00Z,House Appropriations
FY 2019 Budget - Architect of the Capitol,/event/115th-congress/house-event/108110,115th,H,2018-04-12T18:00:00Z,House Appropriations
FY 2019 Budget - Department of Transportation,/event/115th-congress/house-event/108111,115th,H,2018-04-12T18:00:00Z,House Appropriations
FY 2019 Budget - Federal Emergency Management Agency,/event/115th-congress/house-event/108112,115th,H,2018-04-13T15:00:00Z,House Appropriations
FY 2019 Budget - Office of Public and Indian Housing,/event/115th-congress/house-event/108136,115th,H,2018-04-17T13:30:00Z,House Appropriations
FY 2019 - Member Day and Outside Witnesses,/event/115th-congress/house-event/108143,115th,H,2018-04-17T14:00:00Z,House Appropriations
FY 2019 Budget - General Services Administration,/event/115th-congress/house-event/108141,115th,H,2018-04-17T14:00:00Z,House Appropriations
FY 2019 Budget - Indian Health Service,/event/115th-congress/house-event/108140,115th,H,2018-04-17T14:00:00Z,House Appropriations
FY 2019 Budget - United States Coast Guard,/event/115th-congress/house-event/108138,115th,H,2018-04-17T14:00:00Z,House Appropriations
FY 2019 Member Day Hearing,/event/115th-congress/house-event/108139,115th,H,2018-04-17T14:00:00Z,House Appropriations
FY 2019 Budget - Members of Congress,/event/115th-congress/house-event/108144,115th,H,2018-04-17T14:30:00Z,House Appropriations
FY 2019 Budget - Food and Drug Administration,/event/115th-congress/house-event/108145,115th,H,2018-04-17T17:30:00Z,House Appropriations
FY 2019 Member Day Hearing,/event/115th-congress/house-event/108137,115th,H,2018-04-17T17:30:00Z,House Appropriations
FY 2019 Budget - U.S. Government Accountability Office,/event/115th-congress/house-event/108146,115th,H,2018-04-17T18:30:00Z,House Appropriations
FY 2019 - Member Day Hearing,/event/115th-congress/house-event/108162,115th,H,2018-04-18T13:00:00Z,House Appropriations
FY 2019 Budget - U.S. Forest Service,/event/115th-congress/house-event/108148,115th,H,2018-04-18T13:30:00Z,House Appropriations
FY 2019 Budget -  Office of Management and Budget,/event/115th-congress/house-event/108151,115th,H,2018-04-18T14:00:00Z,House Appropriations
FY 2019 Budget - Member Day Hearing,/event/115th-congress/house-event/108149,115th,H,2018-04-18T14:00:00Z,House Appropriations
FY 2019 Oversight Hearing on Health and Human Services Biodefense Activities,/event/115th-congress/house-event/108150,115th,H,2018-04-18T14:00:00Z,House Appropriations
FY 2019 Budget - Bureau of the Census,/event/115th-congress/house-event/108152,115th,H,2018-04-18T14:30:00Z,House Appropriations
FY 2019 - Member Day Hearing,/event/115th-congress/house-event/108161,115th,H,2018-04-18T17:00:00Z,House Appropriations
FY 2019 Budget - United States Department of Agriculture,/event/115th-congress/house-event/108156,115th,H,2018-04-18T17:30:00Z,House Appropriations
FY 2019 Budget - Office of Compliance,/event/115th-congress/house-event/108157,115th,H,2018-04-18T18:00:00Z,House Appropriations
FY 2019 Budget - The Judiciary,/event/115th-congress/house-event/108158,115th,H,2018-04-18T18:00:00Z,House Appropriations
FY 2019 Budget - Congressional Budget Office,/event/115th-congress/house-event/108160,115th,H,2018-04-18T19:00:00Z,House Appropriations
FY 2019 Budget - Department of State and Foreign Operations Programs,/event/115th-congress/house-event/108185,115th,H,2018-04-19T13:30:00Z,House Appropriations
FY 2019 Department of Defense Posture and Budget (CLOSED),/event/115th-congress/house-event/108220,115th,H,2018-04-25T17:00:00Z,House Appropriations
FY2019 Budget U.S. Government Accountability Office,/event/115th-congress/house-event/108219,115th,H,2018-04-25T17:00:00Z,House Appropriations
FY 2019 Member Day,/event/115th-congress/house-event/108221,115th,H,2018-04-25T17:30:00Z,House Appropriations
FY 2019 Library of Congress,/event/115th-congress/house-event/108223,115th,H,2018-04-25T18:00:00Z,House Appropriations
FY 2019 Office of Housing and Federal Housing Administration,/event/115th-congress/house-event/108224,115th,H,2018-04-25T18:00:00Z,House Appropriations
FY 2019 Pipeline to the Workforce,/event/115th-congress/house-event/108222,115th,H,2018-04-25T18:00:00Z,House Appropriations
FY 2019 Member Day,/event/115th-congress/house-event/108226,115th,H,2018-04-25T19:00:00Z,House Appropriations
FY 2019 U.S. House of Representatives,/event/115th-congress/house-event/108225,115th,H,2018-04-25T19:00:00Z,House Appropriations
FY 2019 MILCON Subcommittee Markup,/event/115th-congress/house-event/108246,115th,H,2018-04-26T13:00:00Z,House Appropriations
"FY 2019 FTA, FHWA, MARAD Administrators",/event/115th-congress/house-event/108232,115th,H,2018-04-26T13:30:00Z,House Appropriations
FY 2019 U.S. Securities and Exchange Commission,/event/115th-congress/house-event/108233,115th,H,2018-04-26T13:30:00Z,House Appropriations
FY 2019 Budget Request for the United States Agency for International Development (USAID),/event/115th-congress/house-event/108236,115th,H,2018-04-26T14:00:00Z,House Appropriations
FY 2019 Public Witness Hearing,/event/115th-congress/house-event/108234,115th,H,2018-04-26T14:00:00Z,House Appropriations
FY 2019 Department of Justice,/event/115th-congress/house-event/108237,115th,H,2018-04-26T14:30:00Z,House Appropriations
FY 2019 Legislative Branch Markup,/event/115th-congress/house-event/108247,115th,H,2018-04-26T17:30:00Z,House Appropriations
FY 2019 Environmental Protection Agency (EPA),/event/115th-congress/house-event/108238,115th,H,2018-04-26T18:00:00Z,House Appropriations
FY 2019 Hearing Federal Communications Commission (FCC),/event/115th-congress/house-event/108239,115th,H,2018-04-26T18:00:00Z,House Appropriations
FY 2019 Homeland Member Day,/event/115th-congress/house-event/108240,115th,H,2018-04-26T19:30:00Z,House Appropriations
FY 2019 Energy and Water Markup,/event/115th-congress/house-event/108254,115th,H,2018-05-07T21:30:00Z,House Appropriations
FY 2019 Military Construction and Veterans Affairs Appropriations Bill and Markup of FY 2019 Legislative Branch Appropriations Bill,/event/115th-congress/house-event/108282,115th,H,2018-05-08T14:00:00Z,House Appropriations
American Indian/Alaska Native Public Witnesses,/event/115th-congress/house-event/108261,115th,H,2018-05-09T13:00:00Z,House Appropriations
Defense Member Day,/event/115th-congress/house-event/108280,115th,H,2018-05-09T14:30:00Z,House Appropriations
FY 2019 Agriculture Subcommittee Markup,/event/115th-congress/house-event/108287,115th,H,2018-05-09T20:00:00Z,House Appropriations
"FY 2019 Commerce, Justice, and Science Subcommittee Markup",/event/115th-congress/house-event/108286,115th,H,2018-05-09T21:00:00Z,House Appropriations
American Indian and Alaska Native Witness Days (Day 2),/event/115th-congress/house-event/108265,115th,H,2018-05-10T13:00:00Z,House Appropriations
State and Foreign Operations Member Day,/event/115th-congress/house-event/108268,115th,H,2018-05-10T14:00:00Z,House Appropriations
"FY 2019 Interior, Environment, and Related Agencies",/event/115th-congress/house-event/108314,115th,H,2018-05-15T21:30:00Z,House Appropriations
"FY 2019 Energy and Water and Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Bill",/event/115th-congress/house-event/108312,115th,H,2018-05-16T14:00:00Z,House Appropriations
"FY 2019 Transportation, and Housing and Urban Development, and Related Agencies",/event/115th-congress/house-event/108309,115th,H,2018-05-16T21:00:00Z,House Appropriations
"FY 2019 Commerce, Justice, and Science",/event/115th-congress/house-event/108325,115th,H,2018-05-17T14:00:00Z,House Appropriations
"FY 2019 Commerce, Justice, and Science Appropriations Bill",/event/115th-congress/house-event/108330,115th,H,2018-05-17T14:00:00Z,House Appropriations
FY 2019 Interior and Environment Appropriations Bill,/event/115th-congress/house-event/108359,115th,H,2018-05-22T14:00:00Z,House Appropriations
"FY 2019 Transportation, Housing and Urban Development Appropriations Bill and Report on the Suballocation of Budget Allocations",/event/115th-congress/house-event/108366,115th,H,2018-05-23T18:00:00Z,House Appropriations
FY 2019 Financial Services and General Government,/event/115th-congress/house-event/108372,115th,H,2018-05-24T14:00:00Z,House Appropriations
"FY 2019 Interior, Environment, and Related Agencies Appropriations Bill",/event/115th-congress/house-event/108402,115th,H,2018-06-06T15:00:00Z,House Appropriations
FY 2019 Defense Appropriations Bill,/event/115th-congress/house-event/108403,115th,H,2018-06-07T16:00:00Z,House Appropriations
"FY 2019 State, Foreign Operations Appropriations Bill",/event/115th-congress/house-event/108419,115th,H,2018-06-13T14:00:00Z,House Appropriations
FY 2019 Defense and Financial Services,/event/115th-congress/house-event/108421,115th,H,2018-06-13T16:00:00Z,House Appropriations
"FY 2019 Labor, Health and Human Services, Education, and Related Agencies",/event/115th-congress/house-event/108431,115th,H,2018-06-15T13:30:00Z,House Appropriations
FY 2019 State and Foreign Operations Appropriations Bill and Revised Report on the Suballocation of Budget Allocations for FY 2019,/event/115th-congress/house-event/108462,115th,H,2018-06-20T14:00:00Z,House Appropriations
"POSTPONED: FY 2019 Labor, Health and Human Services, Education, and Related Agencies Appropriations Bill",/event/115th-congress/house-event/108473,115th,H,2018-06-26T14:00:00Z,House Appropriations
"FY 2019 Labor, Health and Human Services, Education, and Related Agencies",/event/115th-congress/house-event/108538,115th,H,2018-07-11T14:00:00Z,House Appropriations
Conference of House and Senate Amendments to H.R. 5895,/event/115th-congress/house-event/108566,115th,H,2018-07-12T15:00:00Z,House Appropriations
FY 2019 Homeland Security Subcommittee Markup,/event/115th-congress/house-event/108583,115th,H,2018-07-19T13:30:00Z,House Appropriations
FY 2019 Homeland Security and Revised Report on Suballocation of Budget Allocations for FY 2019,/event/115th-congress/house-event/108623,115th,H,2018-07-25T14:00:00Z,House Appropriations
Conference of House and Senate Amendments to H.R. 5895,/event/115th-congress/house-event/108667,115th,H,2018-09-05T18:30:00Z,House Appropriations
FY19 Oversight Hearing on the NASA James Webb Space Telescope,/event/115th-congress/house-event/108678,115th,H,2018-09-13T14:30:00Z,House Appropriations
Conference of House and Senate Amendments to H.R. 6157,/event/115th-congress/house-event/108697,115th,H,2018-09-13T15:30:00Z,House Appropriations
Conference of House and Senate Amendments to H.R. 6147,/event/115th-congress/house-event/108698,115th,H,2018-09-13T17:00:00Z,House Appropriations
Full Committee Organizational Meeting of the Committee on Appropriations,/event/116th-congress/house-event/108826,116th,H,2019-01-30T15:00:00Z,House Appropriations
Conference Meeting on House & Senate Amendments to H.J. Res. 31,/event/116th-congress/house-event/108828,116th,H,2019-01-30T18:30:00Z,House Appropriations
Oversight Hearing: Impact of the Administration’s Policies Affecting the Affordable Care Act,/event/116th-congress/house-event/108851,116th,H,2019-02-06T15:00:00Z,House Appropriations
Oversight Hearing: Impact of the Administration’s Policies Affecting the Affordable Care Act,/event/116th-congress/house-event/108858,116th,H,2019-02-06T15:00:00Z,House Appropriations
The Power of the Purse: A Review of Agency Spending Restrictions During a Shutdown,/event/116th-congress/house-event/108857,116th,H,2019-02-06T15:00:00Z,House Appropriations
The Power of the Purse: A Review of Agency Spending Restrictions During a Shutdown,/event/116th-congress/house-event/108850,116th,H,2019-02-06T15:00:00Z,House Appropriations
World Wide Threat Assessment and Intelligence Community Posture Hearing,/event/116th-congress/house-event/108859,116th,H,2019-02-06T20:00:00Z,House Appropriations
World Wide Threat Assessment and Intelligence Community Posture Hearing,/event/116th-congress/house-event/108852,116th,H,2019-02-06T20:00:00Z,House Appropriations
Energy Trends and Outlook,/event/116th-congress/house-event/108860,116th,H,2019-02-07T15:00:00Z,House Appropriations
Energy Trends and Outlook,/event/116th-congress/house-event/108853,116th,H,2019-02-07T15:00:00Z,House Appropriations
Office of Congressional Workplace Rights,/event/116th-congress/house-event/108854,116th,H,2019-02-07T15:00:00Z,House Appropriations
Office of Congressional Workplace Rights,/event/116th-congress/house-event/108862,116th,H,2019-02-07T15:00:00Z,House Appropriations
Quality of Life in the Military,/event/116th-congress/house-event/108856,116th,H,2019-02-07T15:00:00Z,House Appropriations
Quality of Life in the Military,/event/116th-congress/house-event/108864,116th,H,2019-02-07T15:00:00Z,House Appropriations
Open World Leadership Center,/event/116th-congress/house-event/108855,116th,H,2019-02-07T16:00:00Z,House Appropriations
Open World Leadership Center,/event/116th-congress/house-event/108863,116th,H,2019-02-07T16:00:00Z,House Appropriations
Addressing Administrative and Management Challenges in GSA’s Public Buildings Service,/event/116th-congress/house-event/108878,116th,H,2019-02-12T15:00:00Z,House Appropriations
Military Installations and Family Housing Shortfalls and Challenges Hearing,/event/116th-congress/house-event/108879,116th,H,2019-02-12T16:00:00Z,House Appropriations
Oversight Hearing:  The Department of Housing and Urban Development’s Management of Housing Contracts During the Shutdown,/event/116th-congress/house-event/108881,116th,H,2019-02-12T21:00:00Z,House Appropriations
Oversight Hearing:  Department of Energy’s Weatherization Assistance Program,/event/116th-congress/house-event/108877,116th,H,2019-02-13T15:00:00Z,House Appropriations
U.S. Military Service Academies Overview,/event/116th-congress/house-event/108880,116th,H,2019-02-13T16:00:00Z,House Appropriations
Long Term Healthcare Challenges and Long Term Care Hearing,/event/116th-congress/house-event/108883,116th,H,2019-02-13T19:00:00Z,House Appropriations
Public Witness Hearing (non-tribal programs): Morning Session,/event/116th-congress/house-event/108950,116th,H,2019-02-26T14:00:00Z,House Appropriations
"Architect of the Capitol, FY 2020 Budget Request",/event/116th-congress/house-event/108954,116th,H,2019-02-26T15:00:00Z,House Appropriations
Leveraging Private Capital For Underserved Communities and Individuals: A Look Into Community Development Financial Institutions (CDFIs),/event/116th-congress/house-event/108952,116th,H,2019-02-26T15:00:00Z,House Appropriations
Oversight Hearing: Understanding the Changing Climate System and the Role of Climate Research,/event/116th-congress/house-event/108951,116th,H,2019-02-26T15:00:00Z,House Appropriations
VA General Oversight Hearing,/event/116th-congress/house-event/108955,116th,H,2019-02-26T15:00:00Z,House Appropriations
"Congressional Budget Office, FY 2020 budget request",/event/116th-congress/house-event/108957,116th,H,2019-02-26T16:00:00Z,House Appropriations
Public Witness Hearing (non-tribal programs): Afternoon Session,/event/116th-congress/house-event/108958,116th,H,2019-02-26T17:45:00Z,House Appropriations
Election Security: Ensuring the Integrity of U.S. Election Systems,/event/116th-congress/house-event/108959,116th,H,2019-02-27T15:00:00Z,House Appropriations
"Government Accountability Office, FY 2020 Budget Request",/event/116th-congress/house-event/108961,116th,H,2019-02-27T15:00:00Z,House Appropriations
"Oversight of U.S. Agency for International Development (USAID)
Programs and Policies",/event/116th-congress/house-event/108963,116th,H,2019-02-27T15:00:00Z,House Appropriations
Reviewing the Administration’s Unaccompanied Children Program,/event/116th-congress/house-event/108960,116th,H,2019-02-27T15:00:00Z,House Appropriations
Stakeholder Perspectives: Fair Housing,/event/116th-congress/house-event/108964,116th,H,2019-02-27T15:00:00Z,House Appropriations
"Government Publishing Office, FY 2020 Budget Request",/event/116th-congress/house-event/108965,116th,H,2019-02-27T16:00:00Z,House Appropriations
The President's 2019 National Emergency Declaration Circumventing Congress to Build a Border Wall & its Effect on Military Construction and Readiness,/event/116th-congress/house-event/108962,116th,H,2019-02-27T19:00:00Z,House Appropriations
Food and Drug Administration – Status of Operations,/event/116th-congress/house-event/108876,116th,H,2019-02-27T20:00:00Z,House Appropriations
Female Veterans Access to VA Hearing,/event/116th-congress/house-event/108966,116th,H,2019-02-28T15:00:00Z,House Appropriations
"Public Witness Hearing — Tribal Programs: Day 1, Morning Session",/event/116th-congress/house-event/109001,116th,H,2019-03-06T14:00:00Z,House Appropriations
DHS Office of Inspector General,/event/116th-congress/house-event/109002,116th,H,2019-03-06T14:30:00Z,House Appropriations
Electronic Health Record Modernization and Information Technology Oversight,/event/116th-congress/house-event/109004,116th,H,2019-03-06T15:00:00Z,House Appropriations
"Members Day Hearing: Subcommittee on State, Foreign Operations, and Related Programs",/event/116th-congress/house-event/108926,116th,H,2019-03-06T15:30:00Z,House Appropriations
Protecting Student Borrowers: Loan Servicing Oversight,/event/116th-congress/house-event/109005,116th,H,2019-03-06T15:30:00Z,House Appropriations
"Public Witness Hearing — Tribal Programs: Day 1, Afternoon Session",/event/116th-congress/house-event/109006,116th,H,2019-03-06T18:00:00Z,House Appropriations
U.S. Central Command,/event/116th-congress/house-event/109007,116th,H,2019-03-06T20:00:00Z,House Appropriations
"Public Witness Hearing — Tribal Programs: Day 2, Morning Session",/event/116th-congress/house-event/109008,116th,H,2019-03-07T14:00:00Z,House Appropriations
Library of Congress Budget Request for Fiscal Year 2020,/event/116th-congress/house-event/108882,116th,H,2019-03-07T14:15:00Z,House Appropriations
Executive Office for Immigration Review,/event/116th-congress/house-event/109009,116th,H,2019-03-07T15:00:00Z,House Appropriations
Addressing the Public Health Emergency of Gun Violence,/event/116th-congress/house-event/109011,116th,H,2019-03-07T15:30:00Z,House Appropriations
Stakeholder Perspectives: Affordable Housing Production,/event/116th-congress/house-event/109012,116th,H,2019-03-07T15:30:00Z,House Appropriations
"VA Whole Health, Mental Health and Homelessness",/event/116th-congress/house-event/109010,116th,H,2019-03-07T16:00:00Z,House Appropriations
Energy Workforce Opportunities and Challenges,/event/116th-congress/house-event/109013,116th,H,2019-03-07T18:00:00Z,House Appropriations
"Public Witness Hearing — Tribal Programs: Day 2, Afternoon Session",/event/116th-congress/house-event/109014,116th,H,2019-03-07T18:00:00Z,House Appropriations
Supreme Court Budget Hearing,/event/116th-congress/house-event/108993,116th,H,2019-03-07T18:30:00Z,House Appropriations
U.S. European Command,/event/116th-congress/house-event/109015,116th,H,2019-03-07T20:00:00Z,House Appropriations
House of Representatives Budget Request for FY 2020,/event/116th-congress/house-event/109069,116th,H,2019-03-12T14:00:00Z,House Appropriations
"Public Witness Hearing: State, Foreign Operations, and Related Programs",/event/116th-congress/house-event/108976,116th,H,2019-03-12T14:00:00Z,House Appropriations
Treasury’s Role in Combatting Financial Crimes,/event/116th-congress/house-event/109068,116th,H,2019-03-12T14:00:00Z,House Appropriations
FY2020 Related Agencies Budget Hearing,/event/116th-congress/house-event/109071,116th,H,2019-03-12T14:30:00Z,House Appropriations
Oversight Hearing: DOJ Civil Rights Division,/event/116th-congress/house-event/109070,116th,H,2019-03-12T14:30:00Z,House Appropriations
Stakeholder Perspectives: Passenger Rail Development,/event/116th-congress/house-event/109073,116th,H,2019-03-12T15:00:00Z,House Appropriations
United States Capitol Police Budget Request for FY 2020,/event/116th-congress/house-event/109072,116th,H,2019-03-12T15:00:00Z,House Appropriations
Oversight of For-Profit Colleges: Protecting Students and Taxpayer Dollars from Predatory Practices,/event/116th-congress/house-event/109074,116th,H,2019-03-12T18:00:00Z,House Appropriations
USDA Office of the Inspector General,/event/116th-congress/house-event/109075,116th,H,2019-03-12T18:30:00Z,House Appropriations
